Unnamed: 0.1,Unnamed: 0,Text,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,Sentiment
0,0, Enjoying a beautiful day at the park!              ,15-01-2023 12:30, User123      , Twitter  , #Nature #Park                            ,15,30, USA      ,2023,1,15,12,Positive
1,1, Traffic was terrible this morning.                 ,15-01-2023 08:45, CommuterX    , Twitter  , #Traffic #Morning                        ,5,10, Canada   ,2023,1,15,8,Negative
2,2, Just finished an amazing workout! 💪               ,15-01-2023 15:45, FitnessFan   , Instagram , #Fitness #Workout                        ,20,40, USA        ,2023,1,15,15,Positive
3,3, Excited about the upcoming weekend getaway!        ,15-01-2023 18:20, AdventureX   , Facebook , #Travel #Adventure                       ,8,15, UK       ,2023,1,15,18,Positive
4,4, Trying out a new recipe for dinner tonight.        ,15-01-2023 19:55, ChefCook     , Instagram , #Cooking #Food                           ,12,25, Australia ,2023,1,15,19,Neutral
5,5, Feeling grateful for the little things in life.    ,16-01-2023 09:10, GratitudeNow , Twitter  , #Gratitude #PositiveVibes              ,25,50, India    ,2023,1,16,9,Positive
6,6, Rainy days call for cozy blankets and hot cocoa.   ,16-01-2023 14:45, RainyDays    , Facebook , #RainyDays #Cozy                         ,10,20, Canada   ,2023,1,16,14,Positive
7,7, The new movie release is a must-watch!             ,16-01-2023 19:30, MovieBuff    , Instagram , #MovieNight #MustWatch                  ,15,30, USA    ,2023,1,16,19,Positive
8,8, Political discussions heating up on the timeline.  ,17-01-2023 08:00, DebateTalk   , Twitter  , #Politics #Debate                       ,30,60, USA      ,2023,1,17,8,Negative
9,9, Missing summer vibes and beach days.               ,17-01-2023 12:20, BeachLover   , Facebook , #Summer #BeachDays                      ,18,35, Australia ,2023,1,17,12,Neutral
10,10, Just published a new blog post. Check it out!      ,17-01-2023 15:15, BloggerX     , Instagram , #Blogging #NewPost                      ,22,45,USA,2023,1,17,15,Positive
11,11, Feeling a bit under the weather today.             ,18-01-2023 10:30, WellnessCheck, Twitter  , #SickDay #Health                        ,7,15, Canada   ,2023,1,18,10,Negative
12,12, Exploring the city's hidden gems.                  ,18-01-2023 14:50, UrbanExplorer, Facebook , #CityExplore #HiddenGems                ,12,25, UK       ,2023,1,18,14,Positive
13,13," New year, new fitness goals! 💪                    ",18-01-2023 18:00, FitJourney   , Instagram , #NewYear #FitnessGoals                  ,28,55, USA        ,2023,1,18,18,Positive
14,14, Technology is changing the way we live.            ,19-01-2023 09:45, TechEnthusiast, Twitter  , #Tech #Innovation                       ,15,30, India    ,2023,1,19,9,Neutral
15,15, Reflecting on the past and looking ahead.          ,19-01-2023 13:20, Reflections  , Facebook , #Reflection #Future                     ,20,40, USA      ,2023,1,19,13,Positive
16,16, Just adopted a cute furry friend! 🐾              ,19-01-2023 17:10, PetAdopter   , Instagram , #PetAdoption #FurryFriend               ,15,30, Canada    ,2023,1,19,17,Positive
17,17, Late-night gaming session with friends.            ,20-01-2023 00:05, GamerX       , Twitter  , #Gaming #LateNight                      ,18,35, UK       ,2023,1,20,0,Positive
18,18, Attending a virtual conference on AI.              ,20-01-2023 11:30, TechConference, Facebook , #AI #TechConference                     ,25,50,USA,2023,1,20,11,Neutral
19,19, Winter blues got me feeling low.                   ,20-01-2023 15:15, WinterBlues  , Instagram , #WinterBlues #Mood                      ,8,15, USA       ,2023,1,20,15,Negative
20,20, Sipping coffee and enjoying a good book.           ,21-01-2023 08:40, Bookworm     , Twitter  , #Reading #CoffeeTime                    ,22,45, India    ,2023,1,21,8,Positive
21,21, Exploring the world of virtual reality.            ,21-01-2023 13:20, VRExplorer   , Facebook , #VR #VirtualReality                     ,15,30,USA,2023,1,21,13,Positive
22,22, Productive day ticking off my to-do list.          ,21-01-2023 16:45, ProductivityPro, Instagram , #Productivity #WorkFromHome           ,30,60, USA ,2023,1,21,16,Positive
23,23, Just finished a challenging workout routine.       ,22-01-2023 09:15, FitnessWarrior, Twitter  , #Fitness #ChallengeAccepted             ,20,40, UK       ,2023,1,22,9,Positive
24,24, Celebrating a milestone at work! 🎉               ,22-01-2023 14:30, CareerMilestone, Facebook , #Career #Milestone                      ,12,25, Canada  ,2023,1,22,14,Positive
25,25, Sunday brunch with friends.                        ,22-01-2023 12:00, BrunchBuddy  , Instagram , #Brunch #Friends                       ,15,30, UK ,2023,1,22,12,Positive
